# Vocabulario — 14390 palabras únicas

PALABRA                        FRECUENCIA
------------------------------------------
abajo                                   7
abalanza                                1
abalanzaba                              1
abalanzaron                             1
abalanzo                                1
abalanzó                                1
abanderado                              2
abanderados                             1
abandona                                2
abandonaba                              1
abandonado                              1
abandonados                             1
abandonan                               1
abandonando                             1
abandonar                               3
abandonaron                             1
abandoné                                1
abandonó                                1
abanico                                 1
abasto                                  3
abatido                                 1
abatimiento                             1
abecedario                              1
aberración                              1
abertura                                1
abierta                                 9
abiertamente                            1
abierto                                 4
abiertos                                3
abismalmente                            1
abismo                                  1
abismos                                 1
ablaciones                              1
abnegación                              1
abnegada                                1
aboard                                  1
abogada                                 2
abogado                                 1
aborda                                  3
abordan                                 1
abordar                                 1
abordo                                  1
aborte                                  1
aborto                                  1
abra                                    1
abran                                   1
abrasador                               1
abraza                                  5
abrazaba                                1
abrazar                                 5
abrazarla                               2
abrazarlo                               1
abrazarse                               1
abrazo                                  4
abrazos                                 2
abrazándote                             1
abre                                   10
abres                                   1
abriera                                 3
abrieron                                1
abrigo                                  2
abrigos                                 1
abrigó                                  1
abril                                   6
abrir                                   7
abrirle                                 1
abrirse                                 1
abrirán                                 1
abriría                                 1
abrió                                  27
abro                                    9
abrochamos                              1
abruma                                  3
abrumaba                                2
abrumado                                2
abrumados                               2
abruman                                 1
abrumantes                              1
abruptamente                            1
abruptos                                1
abrí                                    3
abría                                   4
abrían                                  1
absenta                                 1
absoluta                                3
absolutamente                          12
absolutismo                             1
absoluto                                2
absorber                                1
absorbido                               2
absorta                                 1
absorto                                 6
abstenga                                1
abstracción                             3
abstractos                              1
abstrae                                 1
abstraen                                1
abstraído                               2
absurdo                                 2
abuela                                  4
abuelo                                  3
abuelos                                 4
abulia                                  1
abultaba                                2
abultadas                               1
abundan                                 4
abundancia                              1
aburre                                  1
aburrida                                2
aburridas                               2
aburridisimo                            1
aburrido                                3
aburrimiento                            2
aburrimos                               1
aburrió                                 1
aburrí                                  1
abusa                                   1
abusiva                                 1
abuso                                   1
acaba                                   5
acaban                                  1
acabar                                  5
acabara                                 1
acabaría                                1
acabe                                   2
acabó                                   2
académico                               1
acaparan                                1
acaso                                   9
acceso                                  3
accidente                               2
accionar                                1
acciones                                7
accionista                              1
accionistas                             1
acción                                 10
acecha                                  1
acechaban                               1
acechabas                               1
acechada                                1
acecho                                  3
aceitada                                1
aceite                                  3
aceitunas                               1
aceleró                                 1
acentuando                              1
acentuar                                1
aceptable                               3
aceptación                              1
aceptan                                 1
aceptando                               2
aceptar                                 5
aceptaran                               1
aceptaron                               1
acepten                                 1
acepto                                  1
acepté                                  1
aceptó                                  4
acera                                   1
acerca                                  8
acercaba                               14
acercaban                               2
acercamiento                            1
acercamos                               3
acercan                                 1
acercar                                 1
acercarme                               1
acercaron                               2
acercarse                               1
acerco                                  1
acercándose                             1
acercó                                 20
acertadas                               1
acertando                               1
achacado                                1
achicharrados                           1
achico                                  1
acierto                                 1
aclara                                  1
aclaraba                                1
aclaración                              1
aclarar                                 1
aclaro                                  5
aclaró                                  1
acné                                    2
acogieron                               1
acomodaba                               2
acomodaban                              1
acomodación                             1
acomodamos                              1
acomodan                                2
acomodo                                 1
acompaña                                4
acompañaba                              2
acompañaban                             1
acompañado                              1
acompañar                               1
acompañara                              3
